Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
ABF-7G+,UC2731,"Thin Film Band Pass Filter, 6500-7500 MHz",6500,7500,DC-5800,35,8350-14000,45,Band Pass,Thin Film,SMT,50
ABF-7R75G+,UC2731,"Thin Film Band Pass Filter, 6300-9200 MHz",6300,9200,DC-4400,40,11000-30000,20,Band Pass,Thin Film,SMT,50
ABF-8R075G+,UC2731,"Thin Film Band Pass Filter, 7750-8400 MHz",7750,8400,DC-6300,41,9600-11500,40,Band Pass,Thin Film,SMT,50
ABF-10R125G+,UC2731,"Thin Film Band Pass Filter, 9350-10900 MHz",9350,10900,DC-7500,38,13000-23000,30,Band Pass,Thin Film,SMT,50
ABF-11R5G+,UC2731,"Thin Film Band Pass Filter, 9600-13200 MHz",9600,13200,DC-7250,30,15600-30000,30,Band Pass,Thin Film,SMT,50
ABF-15R75G+,UC2731,"Thin Film Band Pass Filter, 14200-17400 MHz",14200,17400,DC-11200,30,20500-35000,20,Band Pass,Thin Film,SMT,50
ABF-26G+,VG3044,"Thin Film Band Pass Filter, 24250-27500 MHz",24250,27500,DC-22500,45,29250-40000,40,Band Pass,Thin Film,SMT,50
ABF-28G+,VG3044,"Thin Film Band Pass Filter, 26500-29500 MHz",26500,29500,DC-24500,45,31500-40000,40,Band Pass,Thin Film,SMT,50
BFCG-162W+,GE0805C-3,"LTCC Band Pass Filter, 950-2200 MHz",950,2200,DC-770,20,3000-5000,20,Band Pass,LTCC,SMT,50
BFCG-252+,GE0805C-3,"LTCC Band Pass Filter, 2400-2500 MHz",2400,2500,10-1350,25,3400-3800,23,Band Pass,LTCC,SMT,50
BFCG-552+,GE0805C-3,"LTCC Band Pass Filter, 5100-5930 MHz",5100,5930,DC-3360,20,8770-11000,20,Band Pass,LTCC,SMT,50
BFCG-1902+,GE0805C-13,"LTCC Band Pass Filter, 17000-20400 MHz",17000,20400,DC-13000,24,24500-39000,28,Band Pass,LTCC,SMT,50
BFCG-1952+,GE0805C-13,"LTCC Band Pass Filter, 16800-21000 MHz",16800,21000,DC-11900,18,26300-38500,18,Band Pass,LTCC,SMT,50
BFCG-5600+,GE0805C-3,"LTCC Band Pass Filter, 5150-5990 MHz",5150,5990,DC-4200,20,9310-15750,20,Band Pass,LTCC,SMT,50
BFCN-1052+,FV1206-9,"LTCC Band Pass Filter, 9700-11950 MHz",9700,11950,8400,32,14000,28,Band Pass,LTCC,SMT,50
BFCN-1152+,FV1206-9,"LTCC Band Pass Filter, 11160-11970 MHz",11160,11970,DC-8950,50,13750-20900,35,Band Pass,LTCC,SMT,50
BFCN-1262+,FV1206-9,"LTCC Band Pass Filter, 12100-13200 MHz",12100,13200,DC-9760,45,15170-25000,30,Band Pass,LTCC,SMT,50
BFCN-1445+,FV1206,"LTCC Band Pass Filter, 1420-1470 MHz",1420,1470,1190,20,2050,20,Band Pass,LTCC,SMT,50
BFCN-1525+,FV1206,"LTCC Band Pass Filter, 1480-1570 MHz",1480,1570,1250,20,2180,20,Band Pass,LTCC,SMT,50
BFCN-1560+,FV1206-1,"LTCC Band Pass Filter, 1500-1620 MHz",1500,1620,1100,20,2100,20,Band Pass,LTCC,SMT,50
BFCN-1575+,FV1206,"LTCC Band Pass Filter, 1530-1620 MHz",1530,1620,1290,20,2220,20,Band Pass,LTCC,SMT,50
BFCN-1690+,FV1206-1,"LTCC Band Pass Filter, 1570-1810 MHz",1570,1810,DC-1200,20,2170-4400,20,Band Pass,LTCC,SMT,50
BFCN-1801+,FV1206-7,"LTCC Band Pass Filter, 1400-2320 MHz",1400,2320,1000,25,3110,33,Band Pass,LTCC,SMT,50
BFCN-1840+,FV1206,"LTCC Band Pass Filter, 1750-1930 MHz",1750,1930,1480,20,2860,20,Band Pass,LTCC,SMT,50
BFCN-1855+,FV1206,"LTCC Band Pass Filter, 1790-1920 MHz",1790,1920,1510,20,2810,20,Band Pass,LTCC,SMT,50
BFCN-1860+,FV1206-4,"LTCC Band Pass Filter, 1580-2200 MHz",1580,2200,DC-1300,20,2600-4800,20,Band Pass,LTCC,SMT,50
BFCN-1900+,FV1206-5,"LTCC Band Pass Filter, 1893-1920 MHz",1893,1920,DC-1687,20,2153-5500,20,Band Pass,LTCC,SMT,50
BFCN-1945+,FV1206,"LTCC Band Pass Filter, 1850-2040 MHz",1850,2040,1400,20,2900,20,Band Pass,LTCC,SMT,50
BFCN-2275+,FV1206,"LTCC Band Pass Filter, 2170-2380 MHz",2170,2380,1800,20,3430,20,Band Pass,LTCC,SMT,50
BFCN-2360+,FV1206,"LTCC Band Pass Filter, 2250-2470 MHz",2250,2470,1850,20,3600,20,Band Pass,LTCC,SMT,50
BFCN-2435+,FV1206,"LTCC Band Pass Filter, 2340-2530 MHz",2340,2530,1940,20,3850,20,Band Pass,LTCC,SMT,50
BFCN-2450+,FV1206-4,"LTCC Band Pass Filter, 2400-2550 MHz",2400,2550,DC-2100,20,3400-12000,20,Band Pass,LTCC,SMT,50
BFCN-2491+,FV1206-7,"LTCC Band Pass Filter, 1950-3190 MHz",1950,3190,1440,22,4500,29,Band Pass,LTCC,SMT,50
BFCN-2500+,FV1206-4,"LTCC Band Pass Filter, 2100-2900 MHz",2100,2900,DC-1600,20,3700-5200,20,Band Pass,LTCC,SMT,50
BFCN-2555+,FV1206-1,"LTCC Band Pass Filter, 2500-2610 MHz",2500,2610,1970,20,3200,20,Band Pass,LTCC,SMT,50
BFCN-2700+,FV1206,"LTCC Band Pass Filter, 2600-2800 MHz",2600,2800,1500,20,4150,20,Band Pass,LTCC,SMT,50
BFCN-2840+,FV1206,"LTCC Band Pass Filter, 2750-2930 MHz",2750,2930,1550,20,4000,20,Band Pass,LTCC,SMT,50
BFCN-2850+,FV1206,"LTCC Band Pass Filter, 2750-2950 MHz",2750,2950,1500,20,4300,20,Band Pass,LTCC,SMT,50
BFCN-2900+,FV1206-1,"LTCC Band Pass Filter, 2700-3100 MHz",2700,3100,1850,20,4200,20,Band Pass,LTCC,SMT,50
BFCN-2910+,FV1206,"LTCC Band Pass Filter, 2850-2970 MHz",2850,2970,1600,20,4200,20,Band Pass,LTCC,SMT,50
BFCN-2975+,FV1206,"LTCC Band Pass Filter, 2570-3440 MHz",2570,3440,DC-1700,20,4000-7500,20,Band Pass,LTCC,SMT,50
BFCN-3010+,FV1206,"LTCC Band Pass Filter, 2920-3100 MHz",2920,3100,1530,20,4450,20,Band Pass,LTCC,SMT,50
BFCN-3085+,FV1206,"LTCC Band Pass Filter, 2800-3400 MHz",2800,3400,4250,20,7800,20,Band Pass,LTCC,SMT,50
