Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
LFCG-42+,GE0805C-2,"LTCC Low Pass Filter, DC -435 MHz",DC -435,475,625,20,650-2700,30,Low Pass,LTCC,SMT,50
LFCG-92+,GE0805C-2,"LTCC Low Pass Filter, DC -990 MHz",DC -990,1400,1700,20,1800-2700,30,Low Pass,LTCC,SMT,50
LFCG-320+,GE0805C-2,"LTCC Low Pass Filter, DC-320 MHz",DC-320,440,660-2000,33,2000-6000,20,Low Pass,LTCC,SMT,50
LFCG-360+,GE0805C-2,"LTCC Low Pass Filter, DC-360 MHz",DC-360,500,630-3000,37,3000-8500,20,Low Pass,LTCC,SMT,50
LFCG-400+,GE0805C-2,"LTCC Low Pass Filter, DC-400 MHz",DC-400,520,800-2500,30,2500-4500,20,Low Pass,LTCC,SMT,50
LFCG-490+,GE0805C-2,"LTCC Low Pass Filter, DC-490 MHz",DC-490,590,800-1500,48,1500-8500,15,Low Pass,LTCC,SMT,50
LFCG-510+,GE0805C-2,"LTCC Low Pass Filter, DC-510 MHz",DC-510,660,820-1500,29,1500-8500,15,Low Pass,LTCC,SMT,50
LFCG-530+,GE0805C-2,"LTCC Low Pass Filter, DC-530 MHz",DC-530,670,980-2600,30,2600-4000,25,Low Pass,LTCC,SMT,50
LFCG-575+,GE0805C-2,"LTCC Low Pass Filter, DC-575 MHz",DC-575,725,1020-2500,30,2500-4400,25,Low Pass,LTCC,SMT,50
LFCG-612+,GE0805C-4,"LTCC Low Pass Filter, 4900-6100 MHz",4900-6100,7500,8200,20,9800-12200,30,Low Pass,LTCC,SMT,50
LFCG-630+,GE0805C-2,"LTCC Low Pass Filter, DC-630 MHz",DC-630,780,1050-1500,48,1500-8500,15,Low Pass,LTCC,SMT,50
LFCG-700+,GE0805C-2,"LTCC Low Pass Filter, DC-700 MHz",DC-700,880,1100-3800,37,3800-8500,17,Low Pass,LTCC,SMT,50
LFCG-800+,GE0805C-2,"LTCC Low Pass Filter, DC-800 MHz",DC-800,900,1400-4500,47,4500-10000,24,Low Pass,LTCC,SMT,50
LFCG-900+,GE0805C-2,"LTCC Low Pass Filter, DC-850 MHz",DC-850,1000,1300-1600,48,4500-11000,20,Low Pass,LTCC,SMT,50
LFCG-1000+,GE0805C-2,"LTCC Low Pass Filter, DC-1000 MHz",DC-1000,1370,1550-1900,20,1900-6000,30,Low Pass,LTCC,SMT,50
LFCG-1200+,GE0805C-2,"LTCC Low Pass Filter, DC-1200 MHz",DC-1200,1470,1865-3700,50,3700-10000,30,Low Pass,LTCC,SMT,50
LFCG-1325+,GE0805C-2,"LTCC Low Pass Filter, DC-1325 MHz",DC-1325,1550,1900-2150,45,6500-11600,35,Low Pass,LTCC,SMT,50
LFCG-1400+,GE0805C-2,"LTCC Low Pass Filter, DC-1400 MHz",DC-1400,1650,2015-6600,50,6600-10000,35,Low Pass,LTCC,SMT,50
LFCG-1525+,GE0805C-2,"LTCC Low Pass Filter, DC-1525 MHz",DC-1525,1800,2125-7000,40,7000-12000,30,Low Pass,LTCC,SMT,50
LFCG-1575+,GE0805C-2,"LTCC Low Pass Filter, DC-1575 MHz",DC-1575,1850,2175-2400,20,2400-7000,40,Low Pass,LTCC,SMT,50
LFCG-1700+,GE0805C-2,"LTCC Low Pass Filter, DC-1700 MHz",DC-1700,2025,2400-2800,20,2800-8000,30,Low Pass,LTCC,SMT,50
LFCG-1800+,GE0805C-2,"LTCC Low Pass Filter, DC-1800 MHz",DC-1800,2030,2450-7000,40,7000-10000,35,Low Pass,LTCC,SMT,50
LFCG-1900+,GE0805C-2,"LTCC Low Pass Filter, DC-1.9 GHz",DC-1900,2300,2750-7500,32,7500-13500,28,Low Pass,LTCC,SMT,50
LFCG-2000+,GE0805C-2,"LTCC Low Pass Filter, DC-2000 MHz",DC-2000,2350,3300-7500,52,7500-13500,28,Low Pass,LTCC,SMT,50
LFCG-2250+,GE0805C-2,"LTCC Low Pass Filter, DC-2250 MHz",DC-2250,2500,2800-3600,20,3600-8000,30,Low Pass,LTCC,SMT,50
LFCG-2275+,GE0805C-2,"LTCC Low Pass Filter, DC-2275 MHz",DC-2275,2700,3300-7000,45,7000-10000,25,Low Pass,LTCC,SMT,50
LFCG-2500+,GE0805C-2,"LTCC Low Pass Filter, DC-2500 MHz",DC-2500,2870,3500-4000,33,7000-10000,30,Low Pass,LTCC,SMT,50
LFCG-2600+,GE0805C-2,"LTCC Low Pass Filter, DC-2600 MHz",DC-2600,3000,3850-7000,50,7000-15000,25,Low Pass,LTCC,SMT,50
LFCG-2750+,GE0805C-2,"LTCC Low Pass Filter, DC-2750 MHz",DC-2750,3150,4000-7200,50,7200-16000,25,Low Pass,LTCC,SMT,50
